prompt_target,prompt_actual,output_actual,prompt_tps,decode_tps,prompt_ms,decode_ms,total_ms,cached_tokens,accepted_draft,rejected_draft
2048,2048,256,2226.09,103.21,920.0,1670.0,2600.0,0,181,19
8192,8192,256,2314.12,150.54,3540.0,1700.0,5280.0,0,203,9
32768,32768,256,2104.56,138.29,15570.0,1850.0,17430.0,0,204,4
65536,65536,256,1777.01,116.76,36880.0,2190.0,39080.0,0,204,4
