prompt_target,prompt_actual,output_actual,prompt_tps,decode_tps,prompt_ms,decode_ms,cached_tokens
2048,2048,256,2066.253281488671,94.43996729043955,991.166,2700.128,2303
8192,8192,256,2478.214282040872,142.33095687148742,3305.606,1791.599,8447
32768,32768,256,2352.026807133658,117.40590952286237,13931.814,2171.952,33023
65536,65536,256,2094.7636342947226,101.86972899056686,31285.63,2503.197,65791
