prompt_target,prompt_actual,output_actual,prompt_tps,decode_tps,prompt_ms,decode_ms,cached_tokens
2048,2053.0,512.0,2168.616474804943,96.06539164852992,946.7875,5349.1625,2564.0
8192,8210.0,512.0,2605.1690235936494,86.31311247983581,3151.427,5957.584999999999,8721.0
32768,32813.0,512.0,2479.962122104959,76.00386382262332,13231.2605,6843.411,33324.0
