prompt_target,prompt_actual,output_actual,prompt_tps,decode_tps,prompt_ms,decode_ms,cached_tokens
2048,2048.0,512.0,2181.05319832447,115.4487017670518,938.996,4426.8724999999995,2559.0
8192,8192.0,512.0,2555.605148322918,85.95303189603304,3205.638,5977.862999999999,8703.0
32768,32768.0,512.0,2393.3257763231472,123.81834016165436,13695.051,4127.065500000001,33279.0
